description,name,zipcrid,zip,cr,ex_name,state,statefips,countyfips,lat,lon,totrescnt,mfdu,sfdu,boxcnt,bizcnt,relver,geometry
,20001C016,20001C016,20001,C016,WASHINGTON,DC,11,11001,38.9230047548679,-77.024249976705,785,433,352,0,48,1.13.2,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-77.023943,38.917764,0.0 -77.02389,38.919642,0.0 -77.024065,38.920776,0.0 -77.022057,38.920962,0.0 -77.022612,38.924806,0.0 -77.021487,38.92492,0.0 -77.021339,38.924991,0.0 -77.02149,38.925887,0.0 -77.022753,38.925775,0.0 -77.022806,38.926144,0.0 -77.02704,38.925755,0.0 -77.027038,38.923767,0.0 -77.025503,38.923911,0.0 -77.02522,38.92067,0.0 -77.025892,38.920608,0.0 -77.025992,38.920534,0.0 -77.025115,38.919591,0.0 -77.024586,38.918709,0.0 -77.025992,38.918684,0.0 -77.02599,38.91811,0.0 -77.024638,38.91811,0.0 -77.02441,38.918401,0.0 -77.023943,38.917764,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>"
,20001C021,20001C021,20001,C021,WASHINGTON,DC,11,11001,38.9164399543842,-77.0211257677561,560,295,265,0,78,1.13.2,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-77.017894,38.914088,0.0 -77.017418,38.914092,0.0 -77.017066,38.914208,0.0 -77.017332,38.915909,0.0 -77.019998,38.915653,0.0 -77.020036,38.915731,0.0 -77.020159,38.916494,0.0 -77.01869,38.916634,0.0 -77.019093,38.919254,0.0 -77.021899,38.918991,0.0 -77.021912,38.919894,0.0 -77.022057,38.920962,0.0 -77.024065,38.920776,0.0 -77.02389,38.919642,0.0 -77.023943,38.917764,0.0 -77.023955,38.91699,0.0 -77.022945,38.916711,0.0 -77.022945,38.912605,0.0 -77.021252,38.912615,0.0 -77.019901,38.91309,0.0 -77.017799,38.91382,0.0 -77.017894,38.914088,0.0</coordinates></LinearRing></outerBoundaryIs><innerBoundaryIs><LinearRing><coordinates>-77.017894,38.914088,0.0 -77.018927,38.914086,0.0 -77.018928,38.915001,0.0 -77.018109,38.914646,0.0 -77.017894,38.914088,0.0</coordinates></LinearRing></innerBoundaryIs></Polygon>"
,20001C015,20001C015,20001,C015,WASHINGTON,DC,11,11001,38.9115803235985,-77.0158832387841,728,225,503,0,30,1.13.2,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-77.018927,38.909642,0.0 -77.016163,38.909642,0.0 -77.012163,38.90964,0.0 -77.012163,38.91038,0.0 -77.012158,38.912605,0.0 -77.014111,38.912602,0.0 -77.014085,38.912935,0.0 -77.0169,38.914137,0.0 -77.017066,38.914208,0.0 -77.017418,38.914092,0.0 -77.017894,38.914088,0.0 -77.017799,38.91382,0.0 -77.019901,38.91309,0.0 -77.0199,38.912606,0.0 -77.018925,38.912606,0.0 -77.018923,38.911121,0.0 -77.018927,38.909642,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>"
,20001C090,20001C090,20001,C090,WASHINGTON,DC,11,11001,38.9243250908166,-77.016856005552,0,0,0,0,7,1.13.2,"<MultiGeometry><Polygon><outerBoundaryIs><LinearRing><coordinates>-77.01803,38.922896,0.0 -77.017523,38.922968,0.0 -77.016482,38.922423,0.0 -77.015683,38.922137,0.0 -77.014803,38.922013,0.0 -77.013892,38.922055,0.0 -77.013589,38.922154,0.0 -77.013409,38.922327,0.0 -77.012843,38.923786,0.0 -77.013568,38.924272,0.0 -77.015208,38.924367,0.0 -77.015646,38.926714,0.0 -77.016546,38.927164,0.0 -77.017516,38.926974,0.0 -77.018398,38.927722,0.0 -77.019025,38.927964,0.0 -77.019329,38.927938,0.0 -77.019292,38.928061,0.0 -77.020582,38.92798,0.0 -77.020545,38.927669,0.0 -77.02045,38.927534,0.0 -77.020309,38.9264,0.0 -77.020119,38.925954,0.0 -77.019188,38.924815,0.0 -77.018505,38.924178,0.0 -77.01832,38.923905,0.0 -77.018245,38.923517,0.0 -77.018347,38.922735,0.0 -77.01803,38.922896,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon><Polygon><outerBoundaryIs><LinearRing><coordinates>-77.017872,38.91937,0.0 -77.014802,38.919663,0.0 -77.014935,38.920668,0.0 -77.018027,38.920361,0.0 -77.017872,38.91937,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon></MultiGeometry>"
,20001C770,20001C770,20001,C770,WASHINGTON,DC,11,11001,38.9144457572588,-77.0185044697436,0,0,0,0,0,1.13.2,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-77.018927,38.914086,0.0 -77.017894,38.914088,0.0 -77.018109,38.914646,0.0 -77.018928,38.915001,0.0 -77.018927,38.914086,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>"
,20001C001,20001C001,20001,C001,WASHINGTON,DC,11,11001,38.9124188313248,-77.0117004634962,603,101,502,0,25,1.13.2,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-77.008992,38.913343,0.0 -77.012158,38.913344,0.0 -77.012157,38.914085,0.0 -77.014167,38.914084,0.0 -77.015774,38.913972,0.0 -77.015735,38.914557,0.0 -77.0169,38.914137,0.0 -77.014085,38.912935,0.0 -77.014111,38.912602,0.0 -77.012158,38.912605,0.0 -77.012163,38.91038,0.0 -77.009026,38.910381,0.0 -77.009026,38.910783,0.0 -77.009817,38.911123,0.0 -77.009324,38.911164,0.0 -77.009026,38.911426,0.0 -77.009026,38.911115,0.0 -77.008816,38.911522,0.0 -77.008743,38.911857,0.0 -77.00905,38.911859,0.0 -77.008992,38.913343,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>"
,20001C013,20001C013,20001,C013,WASHINGTON,DC,11,11001,38.9265059231896,-77.0226122854863,726,121,605,0,34,1.13.2,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-77.021091,38.922444,0.0 -77.018347,38.922735,0.0 -77.018245,38.923517,0.0 -77.01832,38.923905,0.0 -77.018505,38.924178,0.0 -77.019188,38.924815,0.0 -77.020119,38.925954,0.0 -77.020309,38.9264,0.0 -77.02045,38.927534,0.0 -77.020545,38.927669,0.0 -77.020582,38.92798,0.0 -77.019292,38.928061,0.0 -77.019558,38.929279,0.0 -77.019776,38.929233,0.0 -77.019818,38.929058,0.0 -77.022846,38.928566,0.0 -77.023031,38.928998,0.0 -77.023348,38.929071,0.0 -77.026232,38.928823,0.0 -77.02751,38.928705,0.0 -77.027408,38.928286,0.0 -77.027273,38.927731,0.0 -77.027052,38.926806,0.0 -77.02704,38.925755,0.0 -77.022806,38.926144,0.0 -77.022753,38.925775,0.0 -77.02149,38.925887,0.0 -77.021339,38.924991,0.0 -77.021487,38.92492,0.0 -77.021091,38.922444,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>"
,20001C007,20001C007,20001,C007,WASHINGTON,DC,11,11001,38.9205532940787,-77.011522536309,538,57,481,0,3,1.13.2,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-77.009042,38.919171,0.0 -77.009043,38.922373,0.0 -77.012146,38.922375,0.0 -77.012148,38.921306,0.0 -77.012706,38.921298,0.0 -77.013637,38.920926,0.0 -77.014935,38.920668,0.0 -77.014802,38.919663,0.0 -77.014749,38.919174,0.0 -77.009042,38.919171,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>"
,20001C018,20001C018,20001,C018,WASHINGTON,DC,11,11001,38.9194595463688,-77.0262506008252,856,613,243,0,56,1.13.2,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-77.028084,38.918112,0.0 -77.028083,38.916997,0.0 -77.027037,38.916999,0.0 -77.027036,38.915573,0.0 -77.026162,38.91555,0.0 -77.025942,38.91593,0.0 -77.02599,38.916997,0.0 -77.023955,38.91699,0.0 -77.023943,38.917764,0.0 -77.02441,38.918401,0.0 -77.024638,38.91811,0.0 -77.02599,38.91811,0.0 -77.025992,38.918684,0.0 -77.024586,38.918709,0.0 -77.025115,38.919591,0.0 -77.025992,38.920534,0.0 -77.025892,38.920608,0.0 -77.02522,38.92067,0.0 -77.025503,38.923911,0.0 -77.027038,38.923767,0.0 -77.027036,38.920763,0.0 -77.027035,38.919183,0.0 -77.028084,38.919181,0.0 -77.028084,38.918112,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>"
,20001C020,20001C020,20001,C020,WASHINGTON,DC,11,11001,38.9035518683644,-77.0136484120284,918,647,271,0,51,1.13.2,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-77.012171,38.905645,0.0 -77.01216,38.906269,0.0 -77.01217,38.907235,0.0 -77.013655,38.907234,0.0 -77.01365,38.905813,0.0 -77.014814,38.905417,0.0 -77.014901,38.905652,0.0 -77.015243,38.90565,0.0 -77.015238,38.905196,0.0 -77.01618,38.904879,0.0 -77.016124,38.904644,0.0 -77.014691,38.902518,0.0 -77.018928,38.902521,0.0 -77.018927,38.901322,0.0 -77.015173,38.901329,0.0 -77.015175,38.900265,0.0 -77.014085,38.9002,0.0 -77.013678,38.900204,0.0 -77.013648,38.902273,0.0 -77.013722,38.902514,0.0 -77.009064,38.902515,0.0 -77.009066,38.90373,0.0 -77.01101,38.903785,0.0 -77.011039,38.904425,0.0 -77.011508,38.904447,0.0 -77.011547,38.90503,0.0 -77.011183,38.904861,0.0 -77.011185,38.904621,0.0 -77.011113,38.904543,0.0 -77.010334,38.904542,0.0 -77.010265,38.904638,0.0 -77.010268,38.90565,0.0 -77.012171,38.905645,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>"
